year,title,metacritic_score
2021,Shang-Chi and the Legend of the Ten Rings,71.0
2021,Venom: Let There be Carnage,48.0
2021,Black Widow,67.0
2021,F9: The Fast Saga,58.0
2021,A Quiet Place: Part II,
2021,No Time to Die,
2021,Free Guy,62.0
2021,Jungle Cruise,50.0
2021,Godzilla vs. Kong,59.0
2021,Halloween Kills,42.0
2021,Cruella,59.0
2021,Dune,74.0
2021,Eternals,52.0
2021,Space Jam: A New Legacy,36.0
2021,The Conjuring: The Devil Made Me Do It,53.0
2021,Candyman,72.0
2021,The Boss Baby: Family Business,
2021,The Suicide Squad,72.0
2021,The Addams Family 2,
2021,Raya and the Last Dragon,75.0
2021,Old,77.0
2021,Kimetsu no Yaiba: Mugen Ressha-Hen,
2021,Tom and Jerry,32.0
2021,The Forever Purge,53.0
2021,Mortal Kombat,60.0
2020,Bad Boys For Life,
2020,1917,78.0
2020,Sonic The Hedgehog,47.0
2020,Star Wars: The Rise of Skywalker,53.0
2020,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),60.0
2020,Jumanji: The Next Level,58.0
2020,Dolittle,26.0
2020,The Invisible Man,72.0
2020,The Call of the Wild,
2020,Onward,61.0
2020,Tenet,69.0
2020,Halloween,87.0
2020,Little Women,
2020,The Gentlemen,51.0
2020,Just Mercy,68.0
2020,Knives Out,82.0
2020,The Croods: A New Age,56.0
2020,Gisaengchung,
2020,Wonder Woman 1984,60.0
2020,Frozen II,
2020,Fantasy Island,22.0
2020,The New Mutants,43.0
2020,Like a Boss,33.0
2020,Unhinged,40.0
2020,The Photograph,32.0
2019,Avengers: Endgame,78.0
2019,The Lion King,
2019,Frozen II,
2019,Toy Story 4,
2019,Captain Marvel,
2019,Star Wars: The Rise of Skywalker,53.0
2019,Spider-Man: Far From Home,
2019,Aladdin,86.0
2019,Joker,59.0
2019,Jumanji: The Next Level,58.0
2019,It: Chapter Two,
2019,Us,77.0
2019,Fast & Furious Presents: Hobbs & Shaw,60.0
2019,John Wick: Chapter 3 - Parabellum,73.0
2019,How to Train Your Dragon: The Hidden World,
2019,The Secret Life of Pets 2,
2019,Pokémon: Detective Pikachu,
2019,Once Upon a Time in Hollywood,83.0
2019,Shazam!,71.0
2019,Aquaman,55.0
2019,Knives Out,82.0
2019,Dumbo,51.0
2019,Maleficent: Mistress of Evil,43.0
2019,Glass,56.0
2019,Godzilla: King of the Monsters,48.0
2018,Black Panther,88.0
2018,Avengers: Infinity War,68.0
2018,Incredibles 2,
2018,Jurassic World: Fallen Kingdom,
2018,Deadpool 2,
2018,Dr. Seuss' The Grinch,
2018,Jumanji: Welcome to the Jungle,58.0
2018,Mission: Impossible - Fallout,86.0
2018,Ant-Man and the Wasp,70.0
2018,Solo: A Star Wars Story,
2018,Venom,35.0
2018,A Star is Born,88.0
2018,Aquaman,55.0
2018,Bohemian Rhapsody,49.0
2018,A Quiet Place,82.0
2018,Ralph Breaks The Internet,71.0
2018,Crazy Rich Asians,74.0
2018,Hotel Transylvania 3: Summer Vacation,54.0
2018,Halloween,87.0
2018,Fantastic Beasts: The Crimes of Grindelwald,52.0
2018,The Meg,46.0
2018,Oceans 8,61.0
2018,Mary Poppins Returns,66.0
2018,Ready Player One,
2018,Spider-Man: Into The Spider-Verse 3D,
2017,Star Wars Ep. VIII: The Last Jedi,
2017,Beauty and the Beast,65.0
2017,Wonder Woman,60.0
2017,Guardians of the Galaxy Vol 2,
2017,Spider-Man: Homecoming,73.0
2017,It,
2017,Thor: Ragnarok,74.0
2017,Despicable Me 3,
2017,Logan,77.0
2017,The Fate of the Furious,56.0
2017,Justice League,
2017,Dunkirk,94.0
2017,Coco,81.0
2017,The Lego Batman Movie,
2017,Get Out,85.0
2017,The Boss Baby,
2017,Pirates of the Caribbean: Dead Men Tell No Tales,39.0
