date,inflation
1972-12-31,3.272
1973-12-31,6.178
1974-12-31,11.055
1975-12-31,9.143
1976-12-31,5.745
1977-12-31,6.502
1978-12-31,7.631
1979-12-31,11.255
1980-12-31,13.549
1981-12-31,10.335
1982-12-31,6.131
1983-12-31,3.212
1984-12-31,4.301
1985-12-31,3.546
1986-12-31,1.898
1987-12-31,3.665
1988-12-31,4.078
1989-12-31,4.827
1990-12-31,5.398
1991-12-31,4.235
1992-12-31,3.029
1993-12-31,2.952
1994-12-31,2.607
1995-12-31,2.805
1996-12-31,2.931
1997-12-31,2.338
1998-12-31,1.552
1999-12-31,2.188
2000-12-31,3.377
2001-12-31,2.826
2002-12-31,1.586
2003-12-31,2.27
2004-12-31,2.677
2005-12-31,3.393
2006-12-31,3.226
2007-12-31,2.853
2008-12-31,3.839
2009-12-31,-0.356
2010-12-31,1.64
2011-12-31,3.157
2012-12-31,2.069
2013-12-31,1.465
2014-12-31,1.622
2015-12-31,0.119
2016-12-31,1.262
2017-12-31,2.13
2018-12-31,2.443
2019-12-31,1.812
2020-12-31,1.234
