imdb_id,imdb_rating,metacritic_score,title,year,boxOffice,numTickets
tt0078721,6.0999999999999996,,10,1979,52134699,20770796
tt0078723,5.7999999999999998,34.0,1941,1979,34175000,13615537
tt0322259,5.9000000000000004,58.0,2 Fast 2 Furious,2003,127120058,21081269
tt0298203,7.0999999999999996,77.0,8 Mile,2002,115270265,19839976
tt0075784,7.4000000000000004,63.0,A Bridge Too Far,1977,50800000,22780269
tt1517451,7.5999999999999996,88.0,A Star Is Born,2018,201157885,22080997
tt0117913,7.5,74.0,A Time to Kill,1996,108766007,24607693
tt0090264,6.2999999999999998,40.0,A View to a Kill,1985,50327960,14176890
tt0109040,6.9000000000000004,37.0,Ace Ventura: Pet Detective,1994,72217396,17700342
tt0118571,6.5,,Air Force One,1997,172480186,37577382
tt0080339,7.7000000000000002,78.0,Airplane!,1980,83453539,31023620
tt0103639,8,86.0,Aladdin,1992,123559796,29773444
tt6139732,6.9000000000000004,86.0,Aladdin,2019,355559216,38816508
tt0090605,8.3000000000000007,84.0,Aliens,1986,85160248,22954244
tt0343135,6,44.0,Along Came Polly,2004,88073507,14182529
tt1231580,4.5,41.0,Alvin and the Chipmunks: The Squeakquel,2009,155916935,20788925
tt0163651,7,65.0,American Pie,1999,101800948,20039556
tt0252866,6.4000000000000004,,American Pie 2,2001,145096820,25635480
tt0305224,6.2000000000000002,52.0,Anger Management,2003,135560942,22481084
tt0075686,8,92.0,Annie Hall,1977,38251425,17153105
tt5095030,7,70.0,Ant-Man and the Wasp,2018,216648740,23781420
tt1024648,7.7000000000000002,86.0,Argo,2012,110106919,13832527
tt0499549,7.7999999999999998,83.0,Avatar,2009,352114898,46948653
tt4154756,8.4000000000000004,68.0,Avengers: Infinity War,2018,678815482,74513225
tt0096874,7.7999999999999998,55.0,Back to the Future Part II,1989,103826836,26021763
tt0172156,6.5999999999999996,,Bad Boys II,2003,138540870,22975268
tt2771200,7.0999999999999996,65.0,Beauty and the Beast,2017,504014165,56188870
tt0086960,7.2999999999999998,16.0,Beverly Hills Cop,1984,103873224,30914650
tt0142342,6.4000000000000004,30.0,Big Daddy,1999,163479795,32181062
tt2245084,7.7999999999999998,74.0,Big Hero 6,2014,211207036,25851534
tt3480822,6.7999999999999998,67.0,Black Widow,2021,183651655,20049307
tt0101507,7.7999999999999998,76.0,Boyz n the Hood,1991,56190094,13346815
tt0072737,6.0999999999999996,44.0,Breakout,1975,16000000,7804878
tt0458339,6.9000000000000004,66.0,Captain America: The First Avenger,2011,176654505,22276735
tt1216475,6.0999999999999996,,Cars 2,2011,191450875,24142607
tt0381061,8,80.0,Casino Royale,2006,153676842,23462113
tt1489889,6.2999999999999998,52.0,Central Intelligence,2016,127440871,14733049
tt0071315,8.1999999999999993,92.0,Chinatown,1974,23169837,12390287
tt0087062,5.5,76.0,City Heat,1984,30941125,9208668
tt0082186,6.9000000000000004,39.0,Clash of the Titans,1981,30000000,10791366
tt0109444,6.9000000000000004,74.0,Clear and Present Danger,1994,121937936,29886749
tt0389860,6.4000000000000004,45.0,Click,2006,137355633,20970325
tt0075860,7.5999999999999996,90.0,Close Encounters of the Third Kind,1977,166000000,74439462
tt0094898,7.0999999999999996,,Coming to America,1988,128152301,31180608
tt0118883,6.7000000000000002,49.0,Conspiracy Theory,1997,76118990,16583657
tt0317303,5.5999999999999996,39.0,Daddy Day Care,2003,104148781,17271771
tt0077394,6.2999999999999998,,Damien: Omen II,1978,24000000,10256410
tt0097165,8.0999999999999996,79.0,Dead Poets Society,1989,95860116,24025091
tt0106697,6.7000000000000002,34.0,Demolition Man,1993,50904671,12295814
tt0099422,6.0999999999999996,68.0,Dick Tracy,1990,103738726,24582636
tt0145742,5.7999999999999998,68.0,Dick Tracy,1990,103738726,24582636
tt0101745,6.2000000000000002,56.0,Doc Hollywood,1991,54751779,13005173
tt0090966,6.2000000000000002,82.0,Down and Out in Beverly Hills,1986,62134225,16747769
tt0240462,4.7000000000000002,,Dr. Dolittle 2,2001,112950721,19955957
tt3861390,6.2999999999999998,51.0,Dumbo,2019,114766307,12529073
tt1160419,8.3000000000000007,74.0,Dune,2021,84116356,9183008
tt5013056,7.7999999999999998,94.0,Dunkirk,2017,188373161,21000352
tt0099487,7.9000000000000004,74.0,Edward Scissorhands,1990,44856044,10629394
tt0397313,7.2999999999999998,64.0,Eight Below,2006,81612565,12459933
tt0319343,7,64.0,Elf,2003,170837644,28331284
tt0082340,7.2000000000000002,,Escape from New York,1981,25244700,9080827
tt0077523,6.2999999999999998,41.0,Every Which Way but Loose,1978,82672336,35330058
tt0116253,6.4000000000000004,62.0,Executive Decision,1996,56679192,12823346
tt3183660,7.2999999999999998,66.0,Fantastic Beasts and Where to Find Them,2016,222675573,25742841
tt4123430,6.5,52.0,Fantastic Beasts: The Crimes of Grindelwald,2018,156781859,17209864
tt0983946,4.9000000000000004,22.0,Fantasy Island,2020,26441782,2886657
tt6806448,6.4000000000000004,60.0,Fast & Furious Presents: Hobbs & Shaw,2019,173956935,18990932
tt0083929,7.2000000000000002,61.0,Fast Times at Ridgemont High,1982,27092880,9215265
tt0093010,6.9000000000000004,67.0,Fatal Attraction,1987,137550694,35179205
tt0083943,6,44.0,Firefox,1982,45785720,15573374
tt0099582,6.5999999999999996,27.0,Flatliners,1990,61308153,14527998
tt0119137,5.2999999999999998,37.0,Flubber,1997,83134090,18112002
tt0322330,6.2000000000000002,70.0,Freaky Friday,2003,110180505,18272057
tt0071521,6.5999999999999996,,Freebie and the Bean,1974,30000000,16042780
tt0073018,6.7999999999999998,,French Connection II,1975,12000000,5853658
tt0068611,7.4000000000000004,92.0,Frenzy,1972,12600000,7411764
tt2294629,7.4000000000000004,75.0,Frozen,2013,296691729,36493447
tt2820852,7.0999999999999996,,Furious 7,2015,353007020,41875091
tt5052448,7.7000000000000002,85.0,Get Out,2017,175484140,19563449
tt0113161,6.9000000000000004,82.0,Get Shorty,1995,69066951,15877460
tt0087332,7.7999999999999998,71.0,Ghostbusters,1984,220855498,65730802
tt0172495,8.5,67.0,Gladiator,2000,186610052,34621530
tt0120685,5.4000000000000004,62.0,Godzilla,1998,136314294,29064881
tt0831387,6.4000000000000004,62.0,Godzilla,2014,200676069,24562554
tt5034838,6.4000000000000004,59.0,Godzilla vs. Kong,2021,100563133,10978507
