imdb_id,title,year,boxOffice,numTickets,boxOfficeAdjusted,ticketPriceAdjusted
tt0078721,10,1979,52134699,20770796,30031508.640552998,1.445852563404551
tt0078723,1941,1979,34175000,13615537,19686059.9078341,1.445852624676801
tt0322259,2 Fast 2 Furious,2003,127120058,21081269,28897489.88406456,1.370766147145343
tt0298203,8 Mile,2002,115270265,19839976,26794575.77870758,1.350534687073592
tt0075784,A Bridge Too Far,1977,50800000,22780269,35058661.145617664,1.5389924124959922
tt1517451,A Star Is Born,2018,201157885,22080997,33498398.834304743,1.517069126647893
tt0117913,A Time to Kill,1996,108766007,24607693,28996536.123700347,1.1783524820347988
tt0090264,A View to a Kill,1985,50327960,14176890,19567636.08087092,1.3802488473050802
tt0109040,Ace Ventura: Pet Detective,1994,72217396,17700342,20371620.874471087,1.150916794402678
tt0118571,Air Force One,1997,172480186,37577382,44928415.21229487,1.195623878542014
tt0080339,Airplane!,1980,83453539,31023620,42340709.79198376,1.364789466605888
tt0103639,Aladdin,1992,123559796,29773444,36817579.26102504,1.2365912140034936
tt6139732,Aladdin,2019,355559216,38816508,58154925.74419366,1.4982008619681515
tt0090605,Aliens,1986,85160248,22954244,32491510.11064479,1.4154903167642894
tt0343135,Along Came Polly,2004,88073507,14182529,19498230.46269648,1.374806317173508
tt1231580,Alvin and the Chipmunks: The Squeakquel,2009,155916935,20788925,30393164.71734893,1.461988280651786
tt0163651,American Pie,1999,101800948,20039556,25552446.787148595,1.2751004456959325
tt0252866,American Pie 2,2001,145096820,25635480,34269442.60746339,1.3367973842293333
tt0305224,Anger Management,2003,135560942,22481084,30816308.70652421,1.370766138613432
tt0075686,Annie Hall,1977,38251425,17153105,26398498.964803312,1.538992442756184
tt5095030,Ant-Man and the Wasp,2018,216648740,23781420,36078058.284762695,1.5170691356850303
tt1024648,Argo,2012,110106919,13832527,20052252.595155712,1.4496449271456844
tt0499549,Avatar,2009,352114898,46948653,68638381.67641325,1.4619883061695775
tt4154756,Avengers: Infinity War,2018,678815482,74513225,113041712.23980016,1.5170691141042436
tt0096874,Back to the Future Part II,1989,103826836,26021763,35017482.6306914,1.3456998524923696
tt0172156,Bad Boys II,2003,138540870,22975268,31493719.0270516,1.3707661223821894
tt2771200,Beauty and the Beast,2017,504014165,56188870,85979898.49880587,1.5301944762157678
tt0086960,Beverly Hills Cop,1984,103873224,30914650,41816917.87439614,1.352657004830918
tt0142342,Big Daddy,1999,163479795,32181062,41034085.090361446,1.2751004019184151
tt2245084,Big Hero 6,2014,211207036,25851534,37309139.02137432,1.4432079357988703
tt3480822,Black Widow,2021,183651655,20049307,29673881.88721926,1.480045264767469
tt0101507,Boyz n the Hood,1991,56190094,13346815,17252101.32023334,1.2926006182174057
tt0072737,Breakout,1975,16000000,7804878,12432012.432012431,1.5928516028069155
tt0458339,Captain America: The First Avenger,2011,176654505,22276735,32841514.221974347,1.4742516900243392
tt1216475,Cars 2,2011,191450875,24142607,35592280.163599186,1.4742517311241154
tt0381061,Casino Royale,2006,153676842,23462113,31876548.84878656,1.3586393028107298
tt1489889,Central Intelligence,2016,127440871,14733049,22202242.334494773,1.506968607414173
