imdb_id,source,rating
tt0078721,IMDb,6.1
tt0078723,IMDb,5.8
tt0078723,Metacritic,34.0
tt0322259,IMDb,5.9
tt0322259,Metacritic,58.0
tt0298203,IMDb,7.1
tt0298203,Metacritic,77.0
tt0075784,IMDb,7.4
tt0075784,Metacritic,63.0
tt1517451,IMDb,7.599999999999999
tt1517451,Metacritic,88.0
tt0117913,IMDb,7.5
tt0117913,Metacritic,74.0
tt0090264,IMDb,6.3
tt0090264,Metacritic,40.0
tt0109040,IMDb,6.9
tt0109040,Metacritic,37.0
tt0118571,IMDb,6.5
tt0080339,IMDb,7.7
tt0080339,Metacritic,78.0
tt0103639,IMDb,8.0
tt0103639,Metacritic,86.0
tt6139732,IMDb,6.9
tt6139732,Metacritic,86.0
tt0090605,IMDb,8.3
tt0090605,Metacritic,84.0
tt0343135,IMDb,6.0
tt0343135,Metacritic,44.0
tt1231580,IMDb,4.5
tt1231580,Metacritic,41.0
tt0163651,IMDb,7.0
tt0163651,Metacritic,65.0
tt0252866,IMDb,6.4
tt0305224,IMDb,6.2
tt0305224,Metacritic,52.0
tt0075686,IMDb,8.0
tt0075686,Metacritic,92.0
tt5095030,IMDb,7.0
tt5095030,Metacritic,70.0
tt1024648,IMDb,7.7
tt1024648,Metacritic,86.0
tt0499549,IMDb,7.8
tt0499549,Metacritic,83.0
tt4154756,IMDb,8.4
tt4154756,Metacritic,68.0
tt0096874,IMDb,7.8
tt0096874,Metacritic,55.0
tt0172156,IMDb,6.6
tt2771200,IMDb,7.1
tt2771200,Metacritic,65.0
tt0086960,IMDb,7.3
tt0086960,Metacritic,16.0
tt0142342,IMDb,6.4
tt0142342,Metacritic,30.0
tt2245084,IMDb,7.8
tt2245084,Metacritic,74.0
tt3480822,IMDb,6.8
tt3480822,Metacritic,67.0
tt0101507,IMDb,7.8
tt0101507,Metacritic,76.0
tt0072737,IMDb,6.1
tt0072737,Metacritic,44.0
tt0458339,IMDb,6.9
tt0458339,Metacritic,66.0
tt1216475,IMDb,6.1
tt0381061,IMDb,8.0
tt0381061,Metacritic,80.0
tt1489889,IMDb,6.3
tt1489889,Metacritic,52.0
tt0071315,IMDb,8.199999999999998
tt0071315,Metacritic,92.0
tt0087062,IMDb,5.5
tt0087062,Metacritic,76.0
tt0082186,IMDb,6.9
tt0082186,Metacritic,39.0
tt0109444,IMDb,6.9
tt0109444,Metacritic,74.0
tt0389860,IMDb,6.4
tt0389860,Metacritic,45.0
tt0075860,IMDb,7.599999999999999
tt0075860,Metacritic,90.0
tt0094898,IMDb,7.1
tt0118883,IMDb,6.7
tt0118883,Metacritic,49.0
tt0317303,IMDb,5.6
tt0317303,Metacritic,39.0
tt0077394,IMDb,6.3
tt0097165,IMDb,8.099999999999998
tt0097165,Metacritic,79.0
tt0106697,IMDb,6.7
tt0106697,Metacritic,34.0
tt0099422,IMDb,6.1
tt0099422,Metacritic,68.0
tt0145742,IMDb,5.8
tt0145742,Metacritic,68.0
tt0101745,IMDb,6.2
tt0101745,Metacritic,56.0
tt0090966,IMDb,6.2
tt0090966,Metacritic,82.0
tt0240462,IMDb,4.7
tt3861390,IMDb,6.3
tt3861390,Metacritic,51.0
tt1160419,IMDb,8.3
tt1160419,Metacritic,74.0
tt5013056,IMDb,7.8
tt5013056,Metacritic,94.0
tt0099487,IMDb,7.9
tt0099487,Metacritic,74.0
tt0397313,IMDb,7.3
