imdb_id,studio,country
tt1386588,Columbia Pictures,US
tt1386588,Gary Sanchez Productions,US
tt1386588,Mosaic Media Group,
tt1386588,Sony Pictures,US
tt0242653,Village Roadshow Pictures,US
tt0242653,NPV Entertainment,US
tt0242653,Silver Pictures,US
tt0190641,OLM,JP
tt0190641,Shogakukan Production,JP
tt0190641,TV Tokyo,JP
tt0190641,Pikachu Project '98,JP
tt0190641,Tomy,JP
tt0190641,Media Factory,JP
tt0190641,JR Kikaku,
tt0190641,GAME FREAK,JP
tt0190641,Creatures,
tt0190641,Nintendo,JP
tt1160419,Legendary Pictures,US
tt11125620,Metro-Goldwyn-Mayer,US
tt11125620,Bron Studios,CA
tt11125620,BermanBraun,US
tt11125620,Cinesite Animation,CA
tt11125620,Nitrogen Studios Canada,CA
tt0790724,Skydance Media,US
tt0790724,"H2L Media ""AKA"" Mutual Film Company",
tt0790724,H2L Media Group,
tt0790724,TC Productions,
tt0790724,Mutual Films,
tt0790724,Paramount,US
tt0384806,Platinum Dunes,US
tt0384806,Dimension Films,US
tt0384806,Metro-Goldwyn-Mayer,US
tt0384806,Radar Pictures,US
tt0078788,United Artists,US
tt0078788,American Zoetrope,US
tt0944835,Wintergreen Productions,
tt0944835,Columbia Pictures,US
tt0944835,Relativity Media,US
tt0944835,Di Bonaventura Pictures,US
tt5164214,Village Roadshow Pictures,US
tt5164214,Warner Bros. Pictures,US
tt5164214,Larger Than Life Productions,US
tt5164214,Rahway Road Productions,US
tt5164214,Smoke House Pictures,US
tt0477347,1492 Pictures,US
tt0477347,21 Laps Entertainment,US
tt0477347,20th Century Fox,US
tt0477347,Ingenious Media,GB
tt0477347,Sun Canada Productions,
tt0126029,DreamWorks Animation,US
tt0126029,DreamWorks Pictures,US
tt0126029,Pacific Data Images,US
tt1453405,Pixar,US
tt1453405,Walt Disney Pictures,US
tt2378191,One More Pictures,
tt2378191,RAI,IT
tt0115759,WCG Entertainment Productions,
tt0115759,20th Century Fox,US
tt0115759,The Mark Gordon Company,US
tt0478311,Apatow Productions,US
tt0478311,Universal Pictures,US
tt2004420,Good Universe,US
tt2004420,Universal Pictures,US
tt2004420,Point Grey Pictures,US
tt1772341,Walt Disney Animation Studios,US
tt1772341,Walt Disney Pictures,US
tt0293564,New Line Cinema,US
tt4520988,Walt Disney Pictures,US
tt4520988,Walt Disney Animation Studios,US
tt2850386,Universal Pictures,US
tt2850386,DreamWorks Animation,US
tt0445934,DreamWorks Pictures,US
tt0445934,MTV Films,US
tt0445934,Red Hour,US
tt0445934,Smart Entertainment,
tt2267998,Regency Enterprises,US
tt2267998,New Regency Pictures,US
tt2267998,Pacific Standard,
tt2267998,TSG Entertainment,US
tt2267998,Artemple - Hollywood,US
tt2267998,20th Century Fox,US
tt7146812,Walt Disney Pictures,US
tt7146812,Pixar,US
tt1517451,Thunder Road,US
tt1517451,22 & Green,US
tt1517451,Gerber Pictures,US
tt1517451,Joint Effort,US
tt1517451,Malpaso Productions,US
tt1517451,Warner Bros. Pictures,US
tt1517451,Live Nation Productions,US
tt1375666,Legendary Pictures,US
tt1375666,Syncopy,GB
tt1375666,Warner Bros. Pictures,US
tt1055369,DreamWorks Pictures,US
tt1055369,Paramount,US
tt1055369,Tom DeSanto & Don Murphy Production,
tt1055369,Hasbro,
tt1055369,Di Bonaventura Pictures,US
tt2279373,Paramount Animation,US
tt2279373,Paramount,US
tt2279373,Nickelodeon Movies,US
tt2279373,Nickelodeon Animation Studio,US
tt2279373,United Plankton Pictures,US
tt2279373,Disruption Entertainment,
tt0073812,Robert Stigwood Organization (RSO),
tt0073812,Hemdale Film,
tt1431045,20th Century Fox,US
tt1431045,Marvel Entertainment,US
tt1431045,The Donners' Company,US
tt1431045,TSG Entertainment,US
tt1431045,Genre Films,US
tt0073018,20th Century Fox,US
tt0427327,Offspring Entertainment,US
tt0427327,New Line Cinema,US
tt0427327,Zadan / Meron Productions,
tt0427327,Ingenious Media,GB
tt1345836,Syncopy,GB
tt1345836,Legendary Pictures,US
tt1345836,DC Entertainment,US
tt1345836,Warner Bros. Pictures,US
tt7126948,DC Entertainment,US
tt7126948,Warner Bros. Pictures,US
tt7126948,The Stone Quarry,US
tt7126948,DC Films,US
tt7126948,Atlas Entertainment,US
tt7126948,DC Comics,US
tt1137450,Metro-Goldwyn-Mayer,US
tt1137450,Cave 76 Productions,US
tt1490017,Warner Bros. Pictures,US
tt1490017,Village Roadshow Pictures,US
tt1490017,RatPac Entertainment,US
tt1490017,LEGO,DK
tt1490017,Lin Pictures,US
tt1490017,Vertigo Entertainment,US
tt1490017,Warner Animation Group,US
tt0167261,New Line Cinema,US
tt0167261,WingNut Films,NZ
tt0167261,The Saul Zaentz Company,US
tt3104988,Color Force,US
tt3104988,Ivanhoe Pictures,US
tt3104988,Warner Bros. Pictures,US
tt0120484,Touchstone Pictures,US
tt0079489,Melvin Simon Productions,
tt0079489,American International Pictures,US
tt0080520,Universal Pictures,US
tt0134067,Klasky-Csupo,US
tt0134067,Nickelodeon Movies,US
tt0134067,Paramount,US
tt0080453,Columbia Pictures,US
tt0120338,Paramount,US
tt0120338,Lightstorm Entertainment,US
tt0120338,20th Century Fox,US
tt0076729,Universal Pictures,US
tt0080377,Warner Bros. Pictures,US
tt0080377,Malpaso Productions,US
tt0120855,Walt Disney Animation Studios,US
tt0120855,Walt Disney Pictures,US
tt0120855,Edgar Rice Burroughs Inc.,
tt0122933,Spring Creek Productions,US
tt0122933,Tribeca Productions,US
tt0122933,Baltimore Pictures,
tt0122933,Warner Bros. Pictures,US
tt1259571,Summit Entertainment,US
tt1259571,Temple Hill Entertainment,US
tt1259571,Maverick Films,US
tt1259571,Imprint Entertainment,US
tt1259571,Sunswept Entertainment,
tt0110357,Walt Disney Pictures,US
tt0110357,Walt Disney Animation Studios,US
tt0120888,Robert Simonds Productions,US
tt0120888,Juno Pix,
tt0120888,New Line Cinema,US
tt0365474,20th Century Fox Home Entertainment,US
tt0120632,Atlas Entertainment,US
tt0120632,Monarchy Enterprises B.V.,
tt0120632,Regency Enterprises,US
tt0120632,Taurus Film,DE
tt0120632,Warner Bros. Pictures,US
tt1790809,Walt Disney Pictures,US
tt1790809,Jerry Bruckheimer Films,US
tt1790809,Infinitum Nihil,US
tt0120338,Paramount,US
tt0120338,Lightstorm Entertainment,US
tt0120338,20th Century Fox,US
tt0120587,DreamWorks Animation,US
tt0120587,Pacific Data Images,US
tt0120587,DreamWorks Pictures,US
tt0118998,20th Century Fox,US
tt0118998,Davis Entertainment,US
tt0118998,Joseph M. Singer Entertainment,
tt0118571,Radiant Productions,
tt0118571,Beacon Communications,
tt0118571,Columbia Pictures,US
tt0118571,Beacon Pictures,
tt0118571,Etalon-Film,RU
tt0118571,Touchstone Pictures,US
tt0086383,Warner Bros. Pictures,US
tt0086383,Malpaso Productions,US
tt0093870,Orion Pictures,US
tt0162661,Paramount,US
tt0162661,Mandalay Pictures,US
tt0162661,American Zoetrope,US
tt0162661,Tim Burton Productions,
tt0162661,Karol Film Productions,
tt0093428,United Artists,US
tt0093428,Eon Productions,GB
tt0093428,Danjaq,US
tt0120812,Roger Birnbaum Productions,
tt0120812,New Line Cinema,US
tt0240772,Village Roadshow Pictures,US
tt0240772,NPV Entertainment,US
tt0240772,Jerry Weintraub Productions,US
tt0240772,Section Eight,US
tt0240772,Warner Bros. Pictures,US
tt0120623,Pixar,US
tt0120623,Walt Disney Pictures,US
tt0074483,Warner Bros. Pictures,US
tt0074483,Malpaso Productions,US
tt0298203,Mikona Productions GmbH & Co. KG,DE
tt0298203,Imagine Entertainment,US
tt0955308,Scott Free Productions,GB
tt0955308,Universal Pictures,US
tt0955308,Imagine Entertainment,US
tt0955308,Relativity Media,US
tt0112462,DC Comics,US
tt0112462,Warner Bros. Pictures,US
tt0112462,DC Entertainment,US
tt0112462,PolyGram Filmed Entertainment,US
tt3554046,Warner Animation Group,US
tt3554046,SpringHill Entertainment,US
tt3554046,Proximity Media,US
tt6334354,DC Entertainment,US
tt6334354,DC Films,US
tt6334354,Atlas Entertainment,US
tt6334354,DC Comics,US
tt6334354,The Safran Company,US
tt6932874,DreamWorks Animation,US
tt6932874,Universal Pictures,US
tt0934706,DC Comics,US
tt0934706,DC Entertainment,US
tt8579674,Universal Pictures,US
tt8579674,DreamWorks Pictures,US
tt8579674,Reliance Entertainment,IN
