title,metacritic_score
Shang-Chi and the Legend of the Ten Rings,71
Venom: Let There be Carnage,48
Black Widow,67
F9: The Fast Saga,58
A Quiet Place: Part II,71
No Time to Die,68
Free Guy,62
Jungle Cruise,50
Godzilla vs. Kong,59
Halloween Kills,42
Cruella,59
Dune,74
Eternals,52
Space Jam: A New Legacy,36
The Conjuring: The Devil Made Me Do It,53
Candyman,72
The Boss Baby: Family Business,39
The Suicide Squad,72
The Addams Family 2,37
Raya and the Last Dragon,75
Old,91
Kimetsu no Yaiba: Mugen Ressha-Hen,
Tom and Jerry,32
The Forever Purge,53
Mortal Kombat,60
Bad Boys For Life,59
1917,78
Sonic The Hedgehog,47
Star Wars: The Rise of Skywalker,53
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),60
Jumanji: The Next Level,58
Dolittle,26
The Invisible Man,72
The Call of the Wild,
Onward,61
Tenet,69
Halloween,87
Little Women,87
The Gentlemen,51
Just Mercy,68
Knives Out,82
The Croods: A New Age,56
Gisaengchung,
Wonder Woman 1984,60
Frozen II,64
Fantasy Island,22
The New Mutants,43
Like a Boss,33
Unhinged,40
The Photograph,32
Avengers: Endgame,78
The Lion King,88
Frozen II,64
Toy Story 4,84
Captain Marvel,64
Star Wars: The Rise of Skywalker,53
Spider-Man: Far From Home,69
Aladdin,86
Joker,59
Jumanji: The Next Level,58
It: Chapter Two,58
Us,81
Fast & Furious Presents: Hobbs & Shaw,60
John Wick: Chapter 3 - Parabellum,73
How to Train Your Dragon: The Hidden World,71
The Secret Life of Pets 2,55
Pokémon: Detective Pikachu,
Once Upon a Time in Hollywood,83
Shazam!,71
Aquaman,55
Knives Out,82
Dumbo,51
Maleficent: Mistress of Evil,43
Glass,56
Godzilla: King of the Monsters,48
Black Panther,88
Avengers: Infinity War,68
Incredibles 2,80
Jurassic World: Fallen Kingdom,51
Deadpool 2,66
Dr. Seuss' The Grinch,
Jumanji: Welcome to the Jungle,58
Mission: Impossible - Fallout,86
Ant-Man and the Wasp,70
Solo: A Star Wars Story,62
Venom,35
A Star is Born,88
Aquaman,55
Bohemian Rhapsody,49
A Quiet Place,82
Ralph Breaks The Internet,71
Crazy Rich Asians,74
Hotel Transylvania 3: Summer Vacation,54
Halloween,87
Fantastic Beasts: The Crimes of Grindelwald,52
The Meg,46
Ocean's 8,61
Mary Poppins Returns,66
Ready Player One,64
Spider-Man: Into The Spider-Verse 3D,
